person,block,condition,trial,attempt,id,found,score,item_class,x,y,rt
4,practice,practice,0,1,12,1,1,targ_class2,-284.0,-29.0,1.87
4,practice,practice,0,1,15,2,2,targ_class2,-242.0,-111.0,2.72
4,practice,practice,0,1,6,3,3,targ_class2,-259.0,-287.0,3.86
4,practice,practice,0,1,3,4,4,targ_class2,292.0,-313.0,5.11
4,practice,practice,0,1,2,5,5,targ_class1,294.0,-390.0,6.15
4,practice,practice,0,1,11,6,6,targ_class1,224.0,-334.0,6.72
4,practice,practice,0,1,13,7,7,targ_class1,-377.0,-10.0,7.85
4,practice,practice,0,1,8,8,8,targ_class1,-499.0,382.0,8.77
4,practice,practice,1,1,7,1,1,targ_class2,257.0,65.0,1.42
4,practice,practice,1,1,10,2,2,targ_class2,376.0,444.0,2.91
4,practice,practice,1,1,14,3,3,targ_class2,449.0,-247.0,4.03
4,practice,practice,1,1,12,4,4,targ_class2,451.0,-324.0,5.31
4,practice,practice,1,1,11,5,5,targ_class1,391.0,-299.0,5.89
4,practice,practice,1,1,8,6,6,targ_class1,434.0,10.0,6.74
4,practice,practice,1,1,4,7,7,targ_class1,274.0,119.0,7.62
4,practice,practice,1,1,16,8,8,targ_class1,-11.0,-328.0,10.87
4,block1,vert_line,4,1,22,1,1,targ_class1,-352.0,201.0,2.83
4,block1,vert_line,4,1,47,2,2,targ_class1,-363.0,146.0,3.34
4,block1,vert_line,4,1,39,3,3,targ_class1,-428.0,406.0,4.85
4,block1,vert_line,4,1,41,4,4,targ_class2,-337.0,418.0,5.37
4,block1,vert_line,4,1,18,5,5,targ_class1,-280.0,421.0,6.17
4,block1,vert_line,4,1,11,6,6,targ_class1,-229.0,349.0,6.82
4,block1,vert_line,4,1,60,7,7,targ_class2,-305.0,238.0,7.94
4,block1,vert_line,4,1,56,8,8,targ_class2,-98.0,292.0,8.84
4,block1,vert_line,4,1,59,9,9,targ_class1,-493.0,-96.0,11.17
4,block1,vert_line,4,1,10,10,10,targ_class1,-109.0,-24.0,12.1
4,block1,vert_line,4,1,7,11,11,targ_class1,-318.0,-321.0,13.18
4,block1,vert_line,4,1,45,12,12,targ_class2,-462.0,-417.0,13.94
4,block1,vert_line,4,1,40,13,13,targ_class2,-149.0,-115.0,14.79
4,block1,vert_line,4,1,9,14,14,targ_class2,-50.0,-142.0,15.47
4,block1,vert_line,4,1,48,15,15,targ_class2,-56.0,-61.0,16.05
4,block1,vert_line,4,1,62,16,16,targ_class1,33.0,200.0,17.15
4,block1,vert_line,4,1,61,17,17,targ_class1,150.0,258.0,17.72
4,block1,vert_line,4,1,19,18,18,targ_class1,211.0,221.0,18.33
4,block1,vert_line,4,1,58,19,19,targ_class2,189.0,331.0,19.09
4,block1,vert_line,4,1,5,20,20,targ_class2,263.0,386.0,19.58
4,block1,vert_line,4,1,23,21,21,targ_class2,65.0,262.0,20.42
4,block1,vert_line,4,1,6,22,22,targ_class2,396.0,183.0,21.13
4,block1,vert_line,4,1,12,23,23,targ_class1,416.0,40.0,21.82
4,block1,vert_line,4,1,28,24,24,targ_class1,295.0,-14.0,22.45
4,block1,vert_line,4,1,53,25,25,targ_class2,276.0,-67.0,23.19
4,block1,vert_line,4,1,26,26,26,targ_class2,320.0,-118.0,23.7
4,block1,vert_line,4,1,4,27,27,targ_class2,210.0,-152.0,24.33
4,block1,vert_line,4,1,46,28,28,targ_class2,125.0,127.0,25.14
4,block1,vert_line,4,1,20,29,29,targ_class1,443.0,-128.0,26.08
4,block1,vert_line,4,1,54,30,30,targ_class1,388.0,-145.0,26.69
4,block1,vert_line,4,1,14,31,31,targ_class2,479.0,-299.0,27.45
4,block1,vert_line,4,1,30,32,32,targ_class1,434.0,-446.0,29.15
4,block1,horz_line,3,1,19,1,1,targ_class1,-192.0,98.0,1.2
4,block1,horz_line,3,1,61,2,2,targ_class1,-317.0,169.0,1.73
4,block1,horz_line,3,1,62,3,3,targ_class1,-273.0,264.0,2.21
4,block1,horz_line,3,1,57,4,4,targ_class1,-142.0,449.0,3.11
4,block1,horz_line,3,1,44,5,5,targ_class1,-71.0,374.0,3.67
4,block1,horz_line,3,1,9,6,6,targ_class2,-315.0,421.0,4.32
4,block1,horz_line,3,1,33,7,7,targ_class2,-344.0,305.0,4.87
4,block1,horz_line,3,1,1,8,8,targ_class1,198.0,409.0,6.32
4,block1,horz_line,3,1,64,9,9,targ_class2,145.0,392.0,6.87
4,block1,horz_line,3,1,2,10,10,targ_class2,281.0,441.0,7.72
4,block1,horz_line,3,1,4,11,11,targ_class2,99.0,253.0,8.65
4,block1,horz_line,3,1,25,12,12,targ_class2,53.0,218.0,9.45
4,block1,horz_line,3,1,27,13,13,targ_class2,-120.0,189.0,10.12
4,block1,horz_line,3,1,36,14,14,targ_class2,477.0,291.0,10.97
4,block1,horz_line,3,1,42,15,15,targ_class1,187.0,216.0,11.9
4,block1,horz_line,3,1,35,16,16,targ_class2,135.0,30.0,12.44
4,block1,horz_line,3,1,50,17,17,targ_class2,173.0,-74.0,13.84
4,block1,horz_line,3,1,20,18,18,targ_class2,226.0,-90.0,14.37
4,block1,horz_line,3,1,59,19,19,targ_class1,100.0,-55.0,15.07
4,block1,horz_line,3,1,5,20,20,targ_class2,371.0,-416.0,16.13
4,block1,horz_line,3,1,31,21,21,targ_class1,315.0,-406.0,16.62
4,block1,horz_line,3,1,10,22,22,targ_class1,212.0,-356.0,17.12
4,block1,horz_line,3,1,30,23,23,targ_class1,-34.0,-379.0,19.45
4,block1,horz_line,3,1,12,24,24,targ_class1,-97.0,-292.0,20.54
4,block1,horz_line,3,1,48,25,25,targ_class1,-0.0,-254.0,21.4
4,block1,horz_line,3,1,51,26,26,targ_class1,-86.0,-140.0,22.1
4,block1,horz_line,3,1,34,27,27,targ_class1,-32.0,-75.0,22.59
4,block1,horz_line,3,1,37,28,28,targ_class2,-27.0,-147.0,23.37
4,block1,horz_line,3,1,60,29,29,targ_class2,55.0,-253.0,24.07
4,block1,horz_line,3,1,15,30,30,targ_class2,46.0,-384.0,24.78
4,block1,horz_line,3,1,49,31,31,targ_class1,-450.0,-106.0,26.14
4,block1,horz_line,3,1,46,32,32,targ_class2,-126.0,-342.0,27.92
4,block1,vert_line,0,1,38,1,1,targ_class1,-223.0,186.0,1.17
4,block1,vert_line,0,1,57,2,2,targ_class1,-159.0,451.0,2.02
4,block1,vert_line,0,1,45,3,3,targ_class1,-33.0,421.0,2.66
4,block1,vert_line,0,1,25,4,4,targ_class2,-194.0,317.0,3.49
4,block1,vert_line,0,1,48,5,5,targ_class2,-148.0,194.0,4.07
4,block1,vert_line,0,1,26,6,6,targ_class2,-473.0,186.0,4.87
4,block1,vert_line,0,1,7,7,7,targ_class1,-266.0,-119.0,6.07
4,block1,vert_line,0,1,23,8,8,targ_class1,-429.0,-236.0,7.77
4,block1,vert_line,0,1,41,9,9,targ_class2,-307.0,-349.0,9.29
4,block1,vert_line,0,1,8,10,10,targ_class1,-306.0,-404.0,10.14
4,block1,vert_line,0,1,33,11,11,targ_class1,171.0,-186.0,11.19
4,block1,vert_line,0,1,55,12,12,targ_class1,254.0,-213.0,12.45
4,block1,vert_line,0,1,29,13,13,targ_class2,30.0,-238.0,13.19
4,block1,vert_line,0,1,32,14,14,targ_class2,84.0,-225.0,13.57
4,block1,vert_line,0,1,16,15,15,targ_class2,30.0,-294.0,14.12
4,block1,vert_line,0,1,54,16,16,targ_class2,301.0,-122.0,14.9
4,block1,vert_line,0,1,62,17,17,targ_class2,411.0,-368.0,15.55
4,block1,vert_line,0,1,1,18,18,targ_class1,202.0,13.0,16.49
4,block1,vert_line,0,1,3,19,19,targ_class2,438.0,97.0,17.89
4,block1,vert_line,0,1,9,20,20,targ_class2,134.0,278.0,18.8
4,block1,vert_line,0,1,30,21,21,targ_class2,363.0,393.0,19.92
4,block1,vert_line,0,1,61,22,22,targ_class2,82.0,460.0,20.54
4,block1,vert_line,0,1,42,23,23,targ_class1,276.0,351.0,21.84
4,block1,vert_line,0,1,60,24,24,targ_class1,219.0,337.0,22.24
4,block1,vert_line,0,1,50,25,25,targ_class1,482.0,380.0,23.04
4,block1,vert_line,0,1,49,26,26,targ_class1,246.0,220.0,23.77
4,block1,vert_line,0,1,17,27,27,targ_class1,193.0,201.0,24.39
4,block1,vert_line,0,1,19,28,28,targ_class1,30.0,139.0,24.9
4,block1,vert_line,0,1,35,29,29,targ_class1,188.0,145.0,25.5
4,block1,vert_line,0,1,13,30,30,targ_class2,417.0,206.0,26.14
4,block1,vert_line,0,1,21,31,31,targ_class2,-487.0,-435.0,29.19
4,block1,vert_line,0,1,37,32,32,targ_class2,-71.0,-145.0,31.6
4,block1,control,4,1,38,1,1,targ_class2,-187.0,443.0,3.74
4,block1,control,4,1,22,2,2,targ_class1,48.0,395.0,5.02
4,block1,control,4,1,46,3,3,targ_class1,-428.0,292.0,5.84
4,block1,control,4,1,30,4,4,targ_class1,-417.0,142.0,6.69
4,block1,control,4,1,37,5,5,targ_class1,-167.0,-172.0,8.24
4,block1,control,4,1,7,6,6,targ_class1,-107.0,-200.0,8.92
4,block1,control,4,1,29,7,7,targ_class1,-125.0,-253.0,9.44
4,block1,control,4,1,41,8,8,targ_class1,-4.0,-335.0,10.09
4,block1,control,4,1,42,9,9,targ_class1,470.0,-356.0,11.02
4,block1,control,4,1,18,10,10,targ_class1,411.0,-145.0,11.85
4,block1,control,4,1,24,11,11,targ_class1,493.0,-10.0,12.6
4,block1,control,4,1,12,12,12,targ_class1,375.0,18.0,13.14
4,block1,control,4,1,17,13,13,targ_class1,416.0,161.0,13.97
4,block1,control,4,1,10,14,14,targ_class1,272.0,326.0,14.65
4,block1,control,4,1,5,15,15,targ_class1,326.0,395.0,15.23
4,block1,control,4,1,23,16,16,targ_class2,-490.0,-15.0,18.05
